"""","情報通信機械器具_事業所数","情報通信機械器具_従業者数(人)","情報通信機械器具_現金給与総額(百万円)","情報通信機械器具_原材料使用額等(百万円)","情報通信機械器具_製造品出荷額等(百万円)","情報通信機械器具_付加価値額(百万円)","輸送用機械器具_事業所数","輸送用機械器具_従業者数(人)","輸送用機械器具_現金給与総額(百万円)","輸送用機械器具_原材料使用額等(百万円)","輸送用機械器具_製造品出荷額等(百万円)","輸送用機械器具_付加価値額(百万円)","そ の 他 の 製 造_事業所数","そ の 他 の 製 造_従業者数(人)","そ の 他 の 製 造_現金給与総額(百万円)","そ の 他 の 製 造_原材料使用額等(百万円)","そ の 他 の 製 造_製造品出荷額等(百万円)","そ の 他 の 製 造_付加価値額(百万円)"
"平成16年(2004年)","3.0","274.0","1012.0","532.0","2630.0","1998.0","26.0","676.0","2702.0","3817.0","10848.0","6589.0","119.0","1554.0","4192.0","8965.0","18442.0","8461.0"
"平成17年(2005年)","2.0","330.0","x","x","x","x","24.0","576.0","2398.0","3084.0","11176.0","7438.0","127.0","1624.0","x","x","x","x"
"","","","","","","","","","","","","","","","","","",""
"平成18年(2006年)","2.0","297.0","x","x","x","x","23.0","596.0","2409.0","3634.0","11366.0","7157.0","107.0","1550.0","x","x","x","x"
"平成19年(2007年)","1.0","354.0","x","x","x","x","24.0","691.0","2719.0","3779.0","14343.0","9612.0","93.0","1522.0","x","x","x","x"
"平成20年(2008年)","3.0","386.0","1424.0","602.0","3571.0","2643.0","23.0","701.0","2877.0","4516.0","15757.0","10324.0","115.0","1538.0","4636.0","9476.0","20139.0","10287.0"
"平成21年(2009年)","4.0","445.0","1863.0","1837.0","5540.0","3167.0","21.0","613.0","2264.0","3526.0","11693.0","7250.0","101.0","1490.0","4389.0","10156.0","19976.0","8668.0"
"平成22年(2010年)","4.0","439.0","1835.0","2310.0","6163.0","3462.0","24.0","660.0","2341.0","3811.0","11678.0","7127.0","91.0","1578.0","4983.0","10992.0","21099.0","8708.0"
"","","","","","","","","","","","","","","","","","",""
"平成23年(2011年)","3.0","330.0","1141.0","326.0","2461.0","1973.0","27.0","677.0","2653.0","4672.0","14962.0","9898.0","116.0","1643.0","5024.0","11355.0","23641.0","11204.0"
"平成24年(2012年)","3.0","332.0","1121.88","439.17","2548.09","1833.1200000000001","28.0","684.0","2786.68","4207.99","11605.03","6628.38","88.0","1452.0","4609.78","9915.67","20354.21","9253.35"
"平成25年(2013年)","4.0","325.0","1198.07","483.09","2631.27","1885.82","21.0","634.0","2522.15","3837.21","11309.39","6789.06","89.0","1347.0","3977.92","11062.69","21278.52","9449.88"
